;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;Date;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);Time;WRITE;
hash 7 iteration 25 probe 4;9.23e+03;1.04;9.66;0;11.6;31.9;0;0;0;0;0;2018-11-05;0.165;0.101;1.51e+04;0.331;8.26;1.64;0.591;9.75;0.000644;0.609;3.76;0.000248;3.28;82;52.1;1.57;1.14e+04;17:25:50.019;0.223;
hash 7 iteration 25 probe 6;8.93e+03;1.04;9.26;0;11.6;28.5;0;0;0;0;0;2018-11-05;0.159;0.0964;1.47e+04;0.318;7.95;1.65;0.571;8.95;0.000608;0.524;4.24;0.000288;3.3;82.4;52.4;1.61;1.16e+04;17:29:23.728;0.189;
hash 8 iteration 25 probe 4;8.38e+03;1.04;8.73;0;12.2;28;0;0;0;0;0;2018-11-05;0.154;0.0912;1.42e+04;0.309;7.72;1.69;0.556;7.46;0.000526;0.501;3.7;0.00026;3.39;84.7;49.9;1.47;1.15e+04;17:29:17.938;0.155;
hash 8 iteration 25 probe 6;8.74e+03;1.03;9.08;0;10.2;31.9;0;0;0;0;0;2018-11-05;0.156;0.0931;1.47e+04;0.312;7.8;1.68;0.551;8.9;0.000607;0.479;4.61;0.000315;3.36;83.9;51.1;1.84;1.17e+04;17:22:59.726;0.17;
hash 8 iteration 17 probe 8;9.12e+03;1.04;9.27;0;11.5;28.1;0;0;0;0;0;2018-11-05;0.159;0.0966;1.5e+04;0.318;7.95;1.64;0.544;10;0.000667;0.493;5.04;0.000336;3.29;82.2;52.8;1.9;1.18e+04;17:22:24.999;0.182;
hash 6 iteration 14 probe 18;9.01e+03;1.05;8.98;0;10.5;30.9;0;0;0;0;0;2018-11-05;0.153;0.094;1.46e+04;0.306;7.65;1.63;0.521;10.5;0.00072;0.438;5.9;0.000403;3.25;81.3;53.5;2.12;1.2e+04;17:19:44.918;0.158;
hash 8 iteration 17 probe 6;8.55e+03;1.04;8.85;0;9.98;30.3;0;0;0;0;0;2018-11-05;0.154;0.0918;1.43e+04;0.308;7.7;1.68;0.564;8.42;0.000587;0.486;4.3;0.0003;3.36;83.9;51.3;1.66;1.16e+04;17:29:55.469;0.158;
hash 6 iteration 14 probe 16;9.54e+03;1.03;9.6;0;11.7;27.3;0;0;0;0;0;2018-11-05;0.159;0.0989;1.54e+04;0.319;7.97;1.61;0.539;11.7;0.000764;0.48;6.07;0.000395;3.22;80.6;53.8;2.26;1.21e+04;17:22:02.046;0.201;
hash 4 iteration 17 probe 18;8.78e+03;1.04;9.16;0;12.4;30.9;0;0;0;0;0;2018-11-05;0.159;0.0953;1.46e+04;0.318;7.95;1.67;0.576;8.78;0.0006;0.513;4.25;0.00029;3.34;83.4;51.6;1.61;1.15e+04;17:26:21.636;0.187;
hash 6 iteration 14 probe 14;8.85e+03;1.04;8.98;0;10.7;33.5;0;0;0;0;0;2018-11-05;0.153;0.0934;1.45e+04;0.307;7.66;1.64;0.539;9.92;0.000682;0.453;5.36;0.000369;3.28;82.1;53.2;1.95;1.19e+04;17:22:45.065;0.162;
